time,Price,Volume
9/10/2007,295.024995,76916
10/10/2007,296.92499,38890
11/10/2007,294.95001,23184
12/10/2007,290.975005,34206
15/10/2007,290.975005,57506
16/10/2007,294.399995,33370
17/10/2007,282.225005,75672
18/10/2007,270.600005,76078
19/10/2007,270.524995,37164
22/10/2007,283.725005,48606
23/10/2007,296.524995,64494
24/10/2007,284.899995,55444
25/10/2007,287.29999,27002
26/10/2007,301.57501,272892
29/10/2007,316.67499,277404
30/10/2007,323.100005,199124
31/10/2007,314.774995,52306
1/11/2007,326.024995,116024
2/11/2007,325.875,52808
5/11/2007,314.42499,22040
6/11/2007,316.024995,21152
7/11/2007,334.70001,333082
8/11/2007,333.100005,112042
9/11/2007,325.649995,6126
12/11/2007,338.649995,67978
13/11/2007,334.274995,186690
14/11/2007,332.54999,68336
15/11/2007,340.975005,53636
16/11/2007,355.42499,257580
19/11/2007,357.524995,20620
20/11/2007,367.29999,46676
21/11/2007,346.5,128640
22/11/2007,346.850005,69248
23/11/2007,355.82501,11148
26/11/2007,350.149995,43174
27/11/2007,349.70001,39754
28/11/2007,348.875,22968
29/11/2007,348.42499,27218
30/11/2007,349.725005,9660
3/12/2007,352.5,212728
4/12/2007,350.524995,29112
5/12/2007,345,13454
6/12/2007,342.024995,37040
7/12/2007,348.57501,23962
10/12/2007,344.82501,326402
11/12/2007,341.024995,81994
12/12/2007,331.07501,30076
13/12/2007,332,19158
14/12/2007,340.42499,16194
17/12/2007,336.95001,33532
18/12/2007,329.725005,17124
19/12/2007,340.75,16372
20/12/2007,334.82501,9298
24/12/2007,340.125,9576
26/12/2007,357.04999,66040
27/12/2007,363.20001,37948
28/12/2007,367.95001,24986
31/12/2007,380.899995,67932
1/1/2008,400.42499,95794
2/1/2008,398.67499,26986
3/1/2008,385.274995,16060
4/1/2008,381.774995,10188
7/1/2008,376.57501,34222
8/1/2008,353.625,57006
9/1/2008,364.125,18214
10/1/2008,352.899995,23994
11/1/2008,343.79999,31062
14/01/2008,342.375,31458
15/01/2008,360.04999,41418
16/01/2008,351.774995,17822
17/01/2008,347.899995,18514
18/01/2008,340.29999,11774
21/01/2008,319.899995,48082
22/01/2008,303.57501,26236
23/01/2008,340.600005,39400
24/01/2008,312.375,19290
25/01/2008,320.875,19028
28/01/2008,321.975005,25326
29/01/2008,323.70001,7904
30/01/2008,314.625,19586
31/01/2008,312.42499,23058
1/2/2008,310.350005,9146
4/2/2008,313.350005,20538
5/2/2008,313.399995,5324
6/2/2008,308.149995,8140
7/2/2008,301.399995,14320
8/2/2008,298.625,33290
11/2/2008,302.25,26508
12/2/2008,299.149995,50244
13/02/2008,300.350005,56486
14/02/2008,312.274995,20510
15/02/2008,321.399995,63282
18/02/2008,336.399995,46528
19/02/2008,329.774995,60036
20/02/2008,337.625,76754
21/02/2008,337.25,52678
22/02/2008,335.17499,20124
25/02/2008,327.07501,4550
26/02/2008,321.899995,16342
27/02/2008,321.274995,30972
28/02/2008,322.5,3884
29/02/2008,332.67499,59720
3/3/2008,337.45001,55246
4/3/2008,339.45001,86962
5/3/2008,344.850005,63588
7/3/2008,322.975005,22500
10/3/2008,311.95001,265782
11/3/2008,304,43738
12/3/2008,308.92499,22376
13/03/2008,284.725005,19234
14/03/2008,275.07501,16638
17/03/2008,264.149995,140844
18/03/2008,254.449995,47986
19/03/2008,249.375,129622
24/03/2008,241.850005,96090
25/03/2008,244.149995,101126
26/03/2008,235.475005,44808
27/03/2008,250.024995,55198
28/03/2008,255.850005,30674
31/03/2008,265.20001,40824
1/4/2008,254.125,7728
2/4/2008,256,100162
3/4/2008,247.125,17286
4/4/2008,227.550005,49796
7/4/2008,224.225005,18382
8/4/2008,219.850005,28888
9/4/2008,225.875,39674
10/4/2008,232.875,90350
11/4/2008,232.449995,42210
15/04/2008,235.899995,40886
16/04/2008,249.824995,128540
17/04/2008,267.375,505498
21/04/2008,275,179364
22/04/2008,265.024995,54916
23/04/2008,264.5,482274
24/04/2008,264.024995,226252
25/04/2008,259.774995,30696
28/04/2008,262.100005,52748
29/04/2008,271.375,241406
30/04/2008,283.725005,522736
2/5/2008,294.89999,446331
5/5/2008,288.29999,84708
6/5/2008,279.35001,70293
7/5/2008,283.45001,73570
8/5/2008,278.04999,53128
9/5/2008,269.5,75428
12/5/2008,271.10001,63164
13/05/2008,268.5,64052
14/05/2008,268.45001,52314
15/05/2008,285.64999,385559
16/05/2008,287.39999,116153
20/05/2008,285.04999,45009
21/05/2008,282.79999,27343
22/05/2008,277.45001,19089
23/05/2008,267.25,44616
26/05/2008,269.85001,46675
27/05/2008,267.89999,22320
28/05/2008,267.5,48320
29/05/2008,274.75,44425
30/05/2008,277.85001,94497
2/6/2008,267.79999,69101
3/6/2008,265.35001,30914
4/6/2008,262.25,35761
5/6/2008,264.79999,58662
6/6/2008,262.85001,112159
9/6/2008,268.64999,56459
10/6/2008,259.54999,121606
11/6/2008,268.29999,39284
12/6/2008,265,31121
13/06/2008,264.10001,23750
16/06/2008,271.79999,89193
17/06/2008,264.04999,29687
18/06/2008,251.95,60274
19/06/2008,248.05,97222
20/06/2008,235.45,79306
23/06/2008,233.89999,84289
24/06/2008,223.14999,26222
25/06/2008,230.8,120095
26/06/2008,236.10001,101161
27/06/2008,232,62347
30/06/2008,227.05,111771
1/7/2008,217.10001,34123
2/7/2008,210.55,145079
3/7/2008,187.39999,92078
4/7/2008,191.55,92098
7/7/2008,202.05,88593
8/7/2008,205.75,48650
9/7/2008,212.2,66859
10/7/2008,220.89999,50085
11/7/2008,225.7,76790
14/07/2008,215.7,70656
15/07/2008,205.2,52791
16/07/2008,202,36192
17/07/2008,207.89999,65237
18/07/2008,213.2,67425
21/07/2008,209.39999,51873
22/07/2008,213.95,70842
23/07/2008,219.45,101728
24/07/2008,220.89999,186933
25/07/2008,214.39999,36445
28/07/2008,218.3,48401
29/07/2008,213.35001,11990
30/07/2008,214.89999,63989
31/07/2008,217.05,150404
1/8/2008,215.55,66440
4/8/2008,215.95,145287
5/8/2008,217.45,86889
6/8/2008,216.8,195395
7/8/2008,216,100239
8/8/2008,217.2,85404
11/8/2008,224.85001,67722
12/8/2008,217.05,75817
13/08/2008,219.95,72449
14/08/2008,218.10001,48922
18/08/2008,216.75,26825
19/08/2008,218.8,89335
20/08/2008,217.7,45366
21/08/2008,217.8,17720
22/08/2008,217.85001,11891
25/08/2008,213.14999,11949
26/08/2008,217.2,20076
27/08/2008,214.8,5860
28/08/2008,206.2,31420
29/08/2008,215.89999,61839
1/9/2008,216.7,16430
2/9/2008,215.8,16667
4/9/2008,215.60001,7070
5/9/2008,215.89999,17136
8/9/2008,211.95,26548
9/9/2008,211.64999,25957
10/9/2008,199.25,43818
11/9/2008,188.64999,62590
15/09/2008,180.05,32401
16/09/2008,185.10001,161897
17/09/2008,170.10001,70191
18/09/2008,188.14999,77084
19/09/2008,173.64999,122130
22/09/2008,187.35001,65082
23/09/2008,185.8,44210
24/09/2008,189.64999,46551
25/09/2008,175,260547
26/09/2008,175.14999,28116
29/09/2008,167.89999,120157
30/09/2008,165.85001,46844
1/10/2008,161.45,14921
3/10/2008,157.8,63767
6/10/2008,142.75,110690
7/10/2008,139.5,113034
8/10/2008,136.05,112557
10/10/2008,116.6,94521
13/10/2008,106.15,99650
14/10/2008,103.55,192802
15/10/2008,88.5,107433
16/10/2008,91.199997,116098
17/10/2008,81.800003,87502
20/10/2008,81.449997,53162
21/10/2008,87.400002,54060
22/10/2008,87.199997,32149
23/10/2008,91.5,296580
24/10/2008,84.349998,395984
27/10/2008,80.199997,279836
28/10/2008,87.699997,17666
29/10/2008,77,512908
31/10/2008,87.949997,390397
3/11/2008,99.199997,121360
4/11/2008,97.849998,109955
5/11/2008,90.949997,119733
6/11/2008,91,32279
7/11/2008,92.900002,17285
10/11/2008,92.699997,114370
11/11/2008,85.449997,64873
12/11/2008,83.849998,12233
14/11/2008,84.900002,77621
17/11/2008,80.75,69080
18/11/2008,78.650002,20595
19/11/2008,70.050003,56362
20/11/2008,65.949997,349333
21/11/2008,64.900002,44685
24/11/2008,61.049999,103642
25/11/2008,55.849998,151145
26/11/2008,64.949997,770831
28/11/2008,64.300003,111337
1/12/2008,64.25,65192
2/12/2008,60.849998,41566
3/12/2008,61,61175
4/12/2008,63.950001,69300
5/12/2008,64.150002,31922
8/12/2008,65.800003,28871
10/12/2008,65.599998,14566
11/12/2008,70,234011
